성분명,위험도,지성,건성,민감성
콩오일불검화물,-1,0,0,0
쿠푸아쿠씨버터,-1,0,0,0
쿼세틴,-1,0,0,0
크로뮴옥사이드그린,-5,0,0,0
크리신,-1,0,0,0
큰잎유럽피나무꽃추출물,0,0,0,0
클러스터소나무껍질/싹추출물,-1,0,0,0
클로페네신,-2,0,0,0
키위씨오일,-1,0,0,0
타이로신,-1,0,0,0
타임오일,-1,0,0,-5
타피오카전분,-1,0,0,0
타히티바닐라추출물,-1,0,0,0
탤크,-3,0,0,0
탱자추출물,-1,0,0,0
테레프탈릴리덴디캠퍼설포닉애씨드,-2,0,0,0
테르무스테르모필루스발효물,-1,0,0,0
테트라소듐이디티에이,-2,0,0,0
테트라헥실데실아스코베이트,-1,0,0,0
토르말린,-1,0,0,0
토코페롤,-1,0,5,0
토코페릴아세테이트,-3,0,0,0
톨오일스테롤,0,0,0,0
톳추출물,0,0,0,0
퉁퉁마디추출물,-1,0,0,0
트라이데세스-6,-1,0,0,0
트라이메틸실록시실리케이트,-1,0,0,0
트라이소듐이디티에이,-1,0,0,0
트라이에탄올아민,-5,0,0,0
트라이에톡시실릴에틸폴리다이메틸실록시에틸헥실다이메티콘,0,0,0,0
트라이에톡시카프릴릴실레인,-1,0,0,0
트라이에틸헥사노인,-1,0,0,0
트라이하이드록시스테아린,-1,0,0,0
트레오닌,-1,0,0,0
트레할로오스,-1,0,0,0
트로메타민,-2,0,0,0
트리세테아레스-4포스페이트,-7,0,0,0
트리실록산,-2,0,0,0
트리칼슘포스페이트,-1,0,0,0
티몰트리메톡시신나메이트,0,0,0,0
티타늄디옥사이드,-3,5,0,5
파이틱애씨드,-1,0,0,0
파인껍질추출물,-1,0,0,0
파파야열매,-1,0,0,0
파파야열매추출물,-1,0,0,0
파피아글로메라타뿌리즙,0,0,0,0
판테놀,-1,0,5,0
팔메스-2포스페이트,0,0,0,0
팔미토일올리고펩타이드,-1,0,0,0
팔미토일테트라펩타이드-7,-1,0,0,0
팔미토일트리펩타이드-1,-1,0,0,0
팔미토일펜타펩타이드-4,-1,0,0,0
팔미틱애씨드,-1,-5,0,0
팔손이분홍치추출물,-1,0,0,0
